iter	Passed	Remaining
457	816	965
458	817	963
459	818	961
460	820	958
461	821	956
462	823	954
463	824	952
464	825	950
465	826	947
466	828	945
467	829	942
468	830	940
469	831	938
470	833	935
471	834	933
472	836	931
473	837	929
474	838	926
475	839	924
476	840	921
477	841	919
478	843	917
479	844	915
480	845	912
481	846	910
482	848	907
483	849	905
484	850	903
485	852	901
486	853	899
487	854	896
488	855	894
489	857	892
490	858	889
491	859	887
492	861	885
493	862	883
494	863	881
495	864	878
496	866	876
497	867	874
498	868	872
499	870	870
500	871	867
501	872	865
502	873	863
503	874	860
504	876	858
505	877	856
506	878	854
507	879	852
508	881	850
509	882	847
510	883	845
511	885	843
512	886	841
513	887	839
514	889	837
515	890	835
516	892	833
517	893	831
518	895	829
519	896	827
520	898	825
521	899	824
522	901	822
523	902	819
524	904	818
525	905	816
526	907	814
527	909	812
528	910	810
529	912	808
530	913	806
531	915	805
532	916	803
533	918	801
534	919	799
535	920	797
536	922	795
537	923	793
538	925	791
539	926	789
540	928	787
541	929	785
542	931	783
543	932	781
544	933	779
545	935	777
546	936	775
547	937	773
548	938	771
549	940	769
550	941	767
551	942	765
552	944	763
553	945	760
554	946	758
555	947	756
556	948	754
557	950	752
558	951	750
559	952	748
560	953	746
561	954	744
562	956	742
563	957	740
564	958	737
565	959	735
566	960	733
567	961	731
568	963	729
569	964	727
570	965	725
571	966	723
572	967	721
573	969	719
574	970	717
575	971	715
576	973	713
577	974	711
578	975	709
579	976	707
580	978	705
581	979	703
582	980	701
583	981	699
584	982	697
585	984	695
586	985	693
587	986	691
588	987	689
589	989	687
590	990	685
591	991	683
592	992	681
593	993	679
594	995	677
595	996	675
596	997	673
597	998	671
598	1000	669
599	1001	667
600	1002	665
601	1003	663
602	1005	661
603	1006	659
604	1007	657
605	1008	655
606	1009	653
607	1011	651
608	1012	649
609	1013	647
610	1014	646
611	1016	644
612	1017	642
613	1018	640
614	1019	638
615	1021	636
616	1022	634
617	1023	632
618	1024	630
619	1026	628
